what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393804597331
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393804597601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804597651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804598391
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1393804598401
activated,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1393804602583
error,log,,,"Unable to validate connection settings.",1393804606573
error,log,,,"Unable to validate connection settings.",1393804606573
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804606583
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804611563
error,log,,,"Unable to validate connection settings.",1393804621323
error,log,,,"Unable to validate connection settings.",1393804621323
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804621333
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804632043
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393804633903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1393804638143
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.c.indent",1393804638813
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.delete.line",1393804639283
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393804640323
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1393804643033
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393804645523
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393804646593
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804646863
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804649153
error,log,,,"Unable to validate connection settings.",1393804658363
error,log,,,"Unable to validate connection settings.",1393804658363
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804658363
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804661013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804663903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804715233
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804723283
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804734233
error,log,,,"Unable to validate connection settings.",1393804741953
error,log,,,"Unable to validate connection settings.",1393804741953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804741953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804745783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804750443
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804771453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804778953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804854973
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393804855813
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805022628
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.open.type.hierarchy",1393805039178
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.opendecl",1393805046358
