what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805479267
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1393805479327
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1393805479327
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1393805479337
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1393805479337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805482617
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1393805485217
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1393805485217
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805486877
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805488307
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1393805488317
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805488597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805488997
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805489517
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805491647
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805496707
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805500397
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393805505177
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393805505217
opened,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393805506567
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393805506597
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393805507097
closed,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393805507097
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1393805507097
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393805533687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805536567
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805538247
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805547297
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805547937
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805555007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805557297
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1393805562287
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805565887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393805571357
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1393805578807
