what,kind,bundleId,bundleVersion,description,time
processors,sysinfo,,,"8",1392409201537
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1392409201537
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1392409201537
java.specification.name,sysinfo,,,"Java Platform API Specification",1392409201537
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392409201537
java.specification.version,sysinfo,,,"1.6",1392409201537
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1392409201537
java.version,sysinfo,,,"1.6.0_23",1392409201537
java.vm.info,sysinfo,,,"mixed mode",1392409201537
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1392409201537
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1392409201537
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1392409201537
java.vm.specification.version,sysinfo,,,"1.0",1392409201537
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1392409201537
java.vm.version,sysinfo,,,"19.0-b09",1392409201537
started,bundle,org.eclipse.cdt.codan.ui,2.0.1.201202111925,"org.eclipse.cdt.codan.ui",1392409201834
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1392409202317
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1392409204720
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1392409208401
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.smartEnter",1392409242472
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1392409246294
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1392409246341
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1392409253564
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1392409253860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392409253907
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392409257167
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1392409258462
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1392409258649
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1392409261972
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1392409261988
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1392409261988
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1392409261988
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1392409262050
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392409262066
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392409265841
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1392409270147
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1392409270147
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392409270162
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1392409274203
opened,view,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1392409277697
