what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1395358874309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358874589
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358874889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358875459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358877519
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358894259
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358977830
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395358985650
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359094816
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1395359104967
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359107247
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359121857
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359122127
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359123787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359160082
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359173732
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359194273
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359194623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359205495
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359212425
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359219238
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359222551
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359225502
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359226143
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359227106
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359228989
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359229255
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359232550
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359232558
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359236303
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359260456
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359263168
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359263472
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359289545
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359357186
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359357496
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359357766
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359360416
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359446256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359474596
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359476246
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359476526
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359479166
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.rename.element",1395359492446
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.rename.element",1395359497526
executed,command,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.edit.text.rename.element",1395359505006
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359509356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1395359553886
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359572396
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359573146
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359573416
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359575006
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359580626
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359607386
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359646896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359653826
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359656646
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359656866
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359669066
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359672336
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395359675946
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395359676096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1395359676256
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359681226
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359682986
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359688586
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359688846
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359691656
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359692166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359695866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359734606
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359735426
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359741236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359741496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359742986
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359747236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359747496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359748976
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359753356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359754286
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1395359754286
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359754556
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359754866
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359755426
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359757416
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359761936
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359765616
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359787296
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359864836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359873196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359873616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359873916
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359874266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359874566
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359874996
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359875576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1395359883377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1395359883727
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1395359884147
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1395359884587
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1395359889477
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359896247
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359897577
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359898327
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359899007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359899377
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359899697
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359900007
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359900417
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1395359900717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.redo",1395359905177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359907077
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359907807
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395359932967
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395359948307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359948597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359950267
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359959367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395359960837
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395359993857
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395360006768
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395360019448
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395360020008
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395360020278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395360021878
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395360022938
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1395360023508
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1395360024848
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395360025108
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395360027858
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395360028358
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1395360028538
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395360028718
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1395360052178
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1395360109249
