what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717131449
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1393717132629
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717144089
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717148119
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717148829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717302436
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393717306226
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393717310716
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393717325446
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1393717328476
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393717332606
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393717334876
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717342226
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717343446
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1393717343456
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717348166
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717350236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1393717350256
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1393717356346
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717368916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717511608
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717595869
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717620149
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717621879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717623509
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1393717623619
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1393717623749
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1393717623749
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1393717623759
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1393717623759
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1393717623759
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1393717623759
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1393717623759
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1393717623759
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1393717623759
stopped,bundle,org.eclipse.cdt.launch.remote,2.3.0.201202111925,"org.eclipse.cdt.launch.remote",1393717623759
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1393717623769
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1393717623769
